,Tables,Count
154,819 490 739 83 743 728 817 ,9861
155,178 466 638 620 759 ,9860
156,466 711 638 343 811 ,9776
157,502 543 543 543 543 543 543 543 543 543 543 543 543 543 543 820 23 649 ,9758
158,466 638 811 674 45 114 ,9742
159,811 544 759 ,9686
160,253 253 253 253 253 253 253 253 466 466 638 101 811 759 759 481 481 481 481 329 325 754 199 199 199 564 ,9658
161,638 811 623 226 521 729  -1 ,9625
162,730 730 716 466 257 638 811 811 209 209 209 644 ,9616
163, -1 466 638 649 649 811 512 ,9560
164,243 638 811 663 759 481 512 165 ,9510
165, -1  -1 ,9450
166,505 505 164 401 145 651 24 1 ,9380
167,496 474 475 ,9372
168,466 638 811 759 512 165 ,9285
169,466 466 638 166 649 811 123 113 113 759 87 ,9240
170,543 543 543 543 543 543 543 543 543 543 543 543 543 543 820 23 649 ,9184
171,442 24 409 676 476 120 572 498 ,9142
172,531 155 774 183 711 638 343 28 811 ,9072
173,166 578 380 649 811 209 759 ,8976
174,714 804 533 371 638 811 644 ,8922
175,258 495 ,8806
176,178 638 649 649 811 ,8655
177,464 817 817 609 ,8616
178,127 303 798 106 280 197 ,8600
179,277 466 638 811 759 759 512 ,8583
180,145 24 ,8575
181, -1 638 811 663 663 149 149 521 ,8574
182,804 533 371 303 418 ,8568
183,466 774 638 401 23 649 811 ,8556
184,819 490 728  -1 785 ,8552
185, -1  -1  -1  -1  -1  -1  -1  -1  -1  -1 466 711 511 638 343 28 811 209 663 759 759 149 149 521 150 154 806 ,8549
186,466 638 649 811 209 ,8508
187,699 277 277 746 97 466 316 638 811 759 ,8486
188,451 253 253 253 253 253 466 638 811 759 759 519 199 564 ,8437
189, -1 218 218 316 638 817 817 811 ,8393
190,166 649 811 759 ,8391
191,127 146 151 763 178  -1 466 638 502 820 23 811 209 185 ,8338
192,127 146 763 277 665 218  -1 638 817 166 649 759 759 ,8294
193,817 682 ,8286
194,638 817 328 682 759 ,8264
195,430 277 511 638 811 759 ,8240
196,277 811 ,8231
197,218 218 316 638 817 817 811 ,8190
198,496 513 401 401 401 761 ,8094
199,496 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513 513  -1  -1 ,8085
200,791 495 ,8032
201,277 638 811 209 ,7898
202,638 166 649 759 ,7895
203,466 638 469 123 776 113 87 ,7890
204,117 184 277  -1 811 ,7875
205,466 582 638 811 674 45 114 ,7825
206,638 811 293 772 419 674 45 114 73 ,7812
207,147 200 ,7808
208,496 513 ,7800
209,466 638 27 811 759 50 ,7800
210,730 218 466 466 638 817 811 209 ,7742
211,638 166 649 811 759 759 ,7742
212,178 178  -1  -1  -1 466 316 711 711 711 511 638 343 343 343 792 792 792 505 401 401 500 174 166 649 811 209 185 759 759 481 481 ,7728
213,774 638 811 ,7704
214,817 328 682 759 481 481 ,7695
215,213 145 24 409 ,7674
216,730 277  -1 466 638 166 811 663 759 ,7632
217,277  -1  -1 774 316 638 649 512 ,7630
218,258 495 111 ,7616
219,213 145 24 ,7591
220,442 9 145 24 409 676 ,7560
221,638 166 649 811 ,7540
222,466 638 166 649 759 759 ,7484
223,127 466 638 303 644 ,7460
224,466 638 166 578 380 649 811 759 759 ,7440
225,243 277 466 638 811 759 759 132 ,7427
226,127 303 644 ,7426
227,277 466 638 811 209 759 ,7425
228,688 194 277  -1 ,7422
229,243  -1 466 638 278 811 663 759 481 ,7413
230,811 811 209 209 19 759 ,7400
